"jolpica_driver_id","openf1_driver_number","season"
"alesi",14,2000
"barrichello",4,2000
"button",10,2000
"coulthard",2,2000
"diniz",16,2000
"fisichella",11,2000
"frentzen",5,2000
"gene",20,2000
"hakkinen",1,2000
"heidfeld",15,2000
"herbert",8,2000
"irvine",7,2000
"mazzacane",21,2000
"michael_schumacher",3,2000
"ralf_schumacher",9,2000
"rosa",18,2000
"salo",17,2000
"trulli",6,2000
"verstappen",19,2000
"villeneuve",22,2000
"wurz",12,2000
"zonta",23,2000
"alesi",12,2001
"alonso",21,2001
"barrichello",2,2001
"bernoldi",15,2001
"button",8,2001
"coulthard",4,2001
"enge",23,2001
"fisichella",7,2001
"frentzen",22,2001
"hakkinen",3,2001
"heidfeld",16,2001
"irvine",18,2001
"michael_schumacher",1,2001
"montoya",6,2001
"panis",9,2001
"raikkonen",17,2001
"ralf_schumacher",5,2001
"rosa",19,2001
"trulli",11,2001
"verstappen",14,2001
"villeneuve",10,2001
"yoong",20,2001
"barrichello",2,2002
"bernoldi",21,2002
"button",15,2002
"coulthard",3,2002
"fisichella",9,2002
"frentzen",20,2002
"heidfeld",7,2002
"irvine",16,2002
"massa",19,2002
"mcnish",25,2002
"michael_schumacher",1,2002
"montoya",6,2002
"panis",12,2002
"raikkonen",4,2002
"ralf_schumacher",5,2002
"rosa",17,2002
"salo",24,2002
"sato",10,2002
"trulli",14,2002
"villeneuve",11,2002
"webber",23,2002
"yoong",22,2002
"alonso",8,2003
"barrichello",2,2003
"button",22,2003
"coulthard",5,2003
"firman",12,2003
"fisichella",11,2003
"frentzen",10,2003
"heidfeld",9,2003
"kiesa",18,2003
"matta",21,2003
"michael_schumacher",1,2003
"montoya",3,2003
"panis",20,2003
"raikkonen",6,2003
"ralf_schumacher",4,2003
"sato",16,2003
"trulli",7,2003
"verstappen",19,2003
"webber",14,2003
"wilson",15,2003
"albers",21,2005
"alonso",5,2005
"barrichello",2,2005
"button",22,2005
"coulthard",14,2005
"doornbos",20,2005
"fisichella",6,2005
"karthikeyan",19,2005
"klien",15,2005
"massa",12,2005
"michael_schumacher",1,2005
"monteiro",18,2005
"montoya",10,2005
"pizzonia",8,2005
"raikkonen",9,2005
"ralf_schumacher",17,2005
"sato",4,2005
"trulli",16,2005
"villeneuve",11,2005
"webber",7,2005
"albers",19,2006
"alonso",1,2006
"barrichello",11,2006
"button",12,2006
"coulthard",14,2006
"doornbos",15,2006
"fisichella",2,2006
"heidfeld",16,2006
"kubica",88,2006
"liuzzi",20,2006
"massa",6,2006
"michael_schumacher",5,2006
"monteiro",18,2006
"raikkonen",3,2006
"ralf_schumacher",7,2006
"rosa",4,2006
"rosberg",10,2006
"sato",22,2006
"speed",21,2006
"trulli",8,2006
"webber",9,2006
"yamamoto",23,2006
"albon",23,2024
"alonso",14,2024
"antonelli",12,2024
"bearman",87,2024
"bottas",77,2024
"colapinto",43,2024
"doohan",7,2024
"gasly",10,2024
"hamilton",44,2024
"hulkenberg",27,2024
"kevin_magnussen",20,2024
"lawson",30,2024
"leclerc",16,2024
"max_verstappen",1,2024
"norris",4,2024
"ocon",31,2024
"perez",11,2024
"piastri",81,2024
"ricciardo",3,2024
"russell",63,2024
"sainz",55,2024
"sargeant",2,2024
"stroll",18,2024
"tsunoda",22,2024
"zhou",24,2024
"albon",23,2025
"alonso",14,2025
"antonelli",12,2025
"arvid_lindblad",41,2025
"bearman",87,2025
"bortoleto",5,2025
"colapinto",43,2025
"doohan",7,2025
"gasly",10,2025
"hadjar",6,2025
"hamilton",44,2025
"hulkenberg",27,2025
"lawson",30,2025
"leclerc",16,2025
"max_verstappen",1,2025
"norris",4,2025
"ocon",31,2025
"piastri",81,2025
"russell",63,2025
"sainz",55,2025
"stroll",18,2025
"tsunoda",22,2025
